Regiao,Ano,Quantidade,Tipo_Crime
Ceilândia,2016,1026,Roubo em Transporte Coletivo
Ceilândia,2017,1081,Furto em Veículo
Ceilândia,2017,77,Homicídio
Ceilândia,2017,0,LCSM (Lesão Corporal Seguida de Morte)
Ceilândia,2017,8,Latrocínio
Ceilândia,2017,6409,Roubo a Transeunte
Ceilândia,2017,832,Roubo de Veículo
Ceilândia,2017,379,Roubo em Comércio
Ceilândia,2017,655,Roubo em Transporte Coletivo
Ceilândia,2018,986,Furto em Veículo
Ceilândia,2018,83,Homicídio
Ceilândia,2018,2,LCSM (Lesão Corporal Seguida de Morte)
Ceilândia,2018,7,Latrocínio
Ceilândia,2018,6403,Roubo a Transeunte
Ceilândia,2018,714,Roubo de Veículo
Ceilândia,2018,322,Roubo em Comércio
Ceilândia,2018,246,Roubo em Transporte Coletivo
Ceilândia,2019,1213,Furto em Veículo
Ceilândia,2019,77,Homicídio
Ceilândia,2019,1,LCSM (Lesão Corporal Seguida de Morte)
Ceilândia,2019,5,Latrocínio
Ceilândia,2019,5693,Roubo a Transeunte
Ceilândia,2019,611,Roubo de Veículo
Ceilândia,2019,227,Roubo em Comércio
Ceilândia,2019,268,Roubo em Transporte Coletivo
Ceilândia,2020,767,Furto em Veículo
Ceilândia,2020,46,Homicídio
Ceilândia,2020,0,LCSM (Lesão Corporal Seguida de Morte)
Ceilândia,2020,3,Latrocínio
Ceilândia,2020,3543,Roubo a Transeunte
Ceilândia,2020,368,Roubo de Veículo
Ceilândia,2020,180,Roubo em Comércio
Ceilândia,2020,167,Roubo em Transporte Coletivo
Ceilândia,2021,590,Furto em Veículo
Ceilândia,2021,42,Homicídio
Ceilândia,2021,1,LCSM (Lesão Corporal Seguida de Morte)
Ceilândia,2021,3,Latrocínio
Ceilândia,2021,3242,Roubo a Transeunte
Ceilândia,2021,379,Roubo de Veículo
Ceilândia,2021,177,Roubo em Comércio
Ceilândia,2021,49,Roubo em Transporte Coletivo
Ceilândia,2022,627,Furto em Veículo
Ceilândia,2022,31,Homicídio
Ceilândia,2022,1,LCSM (Lesão Corporal Seguida de Morte)
Ceilândia,2022,7,Latrocínio
Ceilândia,2022,3549,Roubo a Transeunte
Ceilândia,2022,311,Roubo de Veículo
Ceilândia,2022,100,Roubo em Comércio
Ceilândia,2022,100,Roubo em Transporte Coletivo
Ceilândia,2023,640,Furto em Veículo
Ceilândia,2023,41,Homicídio
Ceilândia,2023,0,LCSM (Lesão Corporal Seguida de Morte)
Ceilândia,2023,1,Latrocínio
Ceilândia,2023,2342,Roubo a Transeunte
Ceilândia,2023,232,Roubo de Veículo
Ceilândia,2023,80,Roubo em Comércio
Ceilândia,2023,55,Roubo em Transporte Coletivo
Ceilândia,2024,644,Furto em Veículo
